Module,Language,Key,Value,Placeholders
"storefronts","sr","variants.attributeValue","[SR] Attribute Value","[SR]"
"storefronts","sr","variants.allValues","[SR] All Values","[SR]"
"storefronts","sr","variants.selectAll","[SR] Select All","[SR]"
"storefronts","sr","variants.clearSelection","[SR] Clear Selection","[SR]"
"storefronts","sr","variants.selected","[SR] Selected","[SR]"
"storefronts","sr","variants.add","[SR] Add","[SR]"
"storefronts","sr","variants.subtract","[SR] Subtract","[SR]"
"storefronts","sr","variants.setTo","[SR] Set To","[SR]"
"storefronts","sr","variants.apply","[SR] Apply","[SR]"
"storefronts","sr","variants.importing","[SR] Importing","[SR]"
"storefronts","sr","variants.importCSV","[SR] Import C S V","[SR]"
"storefronts","sr","variants.exporting","[SR] Exporting","[SR]"
"storefronts","sr","variants.exportCSV","[SR] Export C S V","[SR]"
"storefronts","sr","variants.saving","[SR] Saving","[SR]"
"storefronts","sr","variants.saveChanges","[SR] Save Changes","[SR]"
"storefronts","sr","variants.name","[SR] Name","[SR]"
"storefronts","sr","variants.sku","[SR] Sku","[SR]"
"storefronts","sr","variants.stock","[SR] Stock","[SR]"
"storefronts","sr","variants.updated_at","[SR] Updated_at","[SR]"
"storefronts","sr","variants.lastUpdated","[SR] Last Updated","[SR]"
"storefronts","sr","variants.noVariants","[SR] No Variants","[SR]"
"storefronts","sr","variants.noVariantsMatch","[SR] No Variants Match","[SR]"
"storefronts","sr","variants.noVariantsDescription","[SR] No Variants Description","[SR]"
"storefronts","sr","variants.tryDifferentFilters","[SR] Try Different Filters","[SR]"
"storefronts","sr","variants.availability","[SR] Availability","[SR]"
"storefronts","sr","variants.moreImages","[SR] More Images","[SR]"
"storefronts","sr","variants.Failed to generate variants","[SR] Failed to generate variants","[SR]"
"storefronts","sr","variants.title","[SR] Title","[SR]"
"storefronts","sr","variants.selectAttributesHelp","[SR] Select Attributes Help","[SR]"
"storefronts","sr","variants.generationSummary","[SR] Generation Summary","[SR]"
"storefronts","sr","variants.totalCombinations","[SR] Total Combinations","[SR]"
"storefronts","sr","variants.generating","[SR] Generating","[SR]"
"storefronts","sr","variants.Failed to update variant","[SR] Failed to update variant","[SR]"
"storefronts","sr","variants.acrossAllVariants","[SR] Across All Variants","[SR]"
"storefronts","sr","variants.variantsWithLowStock","[SR] Variants With Low Stock","[SR]"
"storefronts","sr","variants.variantsOutOfStock","[SR] Variants Out Of Stock","[SR]"
"storefronts","sr","variants.bulkStockOperations","[SR] Bulk Stock Operations","[SR]"
"storefronts","sr","variants.operation","[SR] Operation","[SR]"
"storefronts","sr","variants.amount","[SR] Amount","[SR]"
"storefronts","sr","variants.currentStock","[SR] Current Stock","[SR]"
"storefronts","sr","variants.noAnalytics","[SR] No Analytics","[SR]"
"storefronts","sr","variants.noAnalyticsDescription","[SR] No Analytics Description","[SR]"
"storefronts","sr","variants.totalSold","[SR] Total Sold","[SR]"
"storefronts","sr","variants.lowStockVariants","[SR] Low Stock Variants","[SR]"
"storefronts","sr","variants.bestSeller","[SR] Best Seller","[SR]"
"storefronts","sr","variants.stockByAttribute","[SR] Stock By Attribute","[SR]"
"storefronts","sr","variants.salesByAttribute","[SR] Sales By Attribute","[SR]"
"storefronts","sr","stockStatus.out_of_stock","[SR] Out_of_stock","[SR]"
"storefronts","sr","stockStatus.in_stock","[SR] In_stock","[SR]"
"storefronts","sr","stockStatus.low_stock","[SR] Low_stock","[SR]"
"storefronts","sr","bulk.selectMode","[SR] Select Mode","[SR]"
"storefronts","sr","bulk.selectAll","[SR] Select All","[SR]"
"storefronts","sr","bulk.status","[SR] Status","[SR]"
"storefronts","sr","tabs.attributes","[SR] Attributes","[SR]"
"storefronts","sr","tabs.variants","[SR] Variants","[SR]"
"storefronts","sr","tabs.stock","[SR] Stock","[SR]"
"storefronts","sr","tabs.analytics","[SR] Analytics","[SR]"
"search","ru","city","[RU] City","[RU]"
"search","ru","enterCity","[RU] Enter City","[RU]"
"search","ru","category","[RU] Category","[RU]"
"search","ru","allCategories","[RU] All Categories","[RU]"
"search","ru","inCategory","[RU] In Category","[RU]"
"search","ru","search.searchHistory","[RU] Search History","[RU]"
"search","ru","search.clearHistory","[RU] Clear History","[RU]"
"search","sr","city","[SR] City","[SR]"
"search","sr","enterCity","[SR] Enter City","[SR]"
"search","sr","category","[SR] Category","[SR]"
"search","sr","allCategories","[SR] All Categories","[SR]"
"search","sr","inCategory","[SR] In Category","[SR]"
"search","sr","search.searchHistory","[SR] Search History","[SR]"
"search","sr","search.clearHistory","[SR] Clear History","[SR]"
"search","sr","popularSearches","[SR] Popular Searches","[SR]"
"reviews","ru","comment.placeholder","[RU] Placeholder","[RU]"
"reviews","ru","comment.tooShort","[RU] Too Short","[RU]"
"reviews","ru","cons.placeholder","[RU] Placeholder","[RU]"
"reviews","ru","gallery.closeGallery","[RU] Close Gallery","[RU]"
"reviews","ru","gallery.fullscreenMode","[RU] Fullscreen Mode","[RU]"
"reviews","ru","gallery.nextImage","[RU] Next Image","[RU]"
"reviews","ru","gallery.of","[RU] Of","[RU]"
"reviews","ru","gallery.photo","[RU] Photo","[RU]"
"reviews","ru","gallery.previousImage","[RU] Previous Image","[RU]"
"reviews","ru","gallery.swipeToNavigate","[RU] Swipe To Navigate","[RU]"
"reviews","ru","list.anonymous","[RU] Anonymous","[RU]"
"reviews","ru","list.byDate","[RU] By Date","[RU]"
"reviews","ru","list.byHelpfulness","[RU] By Helpfulness","[RU]"
"reviews","ru","list.byRating","[RU] By Rating","[RU]"
"reviews","ru","list.cons","[RU] Cons","[RU]"
"reviews","ru","list.dispute","[RU] Dispute","[RU]"
"reviews","ru","list.disputePlaceholder","[RU] Dispute Placeholder","[RU]"
"reviews","ru","list.disputeReason","[RU] Dispute Reason","[RU]"
"reviews","ru","list.disputeReview","[RU] Dispute Review","[RU]"
"reviews","ru","list.helpful","[RU] Helpful","[RU]"
"reviews","ru","list.pros","[RU] Pros","[RU]"
"reviews","ru","list.rating","[RU] Rating","[RU]"
"reviews","ru","list.seller","[RU] Seller","[RU]"
"reviews","ru","list.sellerConfirmed","[RU] Seller Confirmed","[RU]"
"reviews","ru","list.verified","[RU] Verified","[RU]"
"reviews","ru","list.withPhotos","[RU] With Photos","[RU]"
"reviews","ru","photos.dragText","[RU] Drag Text","[RU]"
"reviews","ru","photos.fileTypes","[RU] File Types","[RU]"
"reviews","ru","photos.limitReached","[RU] Limit Reached","[RU]"
"reviews","ru","photos.maxFiles","[RU] Max Files","[RU]"
"reviews","ru","progress.creating","[RU] Creating","[RU]"
"reviews","ru","progress.publishing","[RU] Publishing","[RU]"
"reviews","ru","progress.uploading","[RU] Uploading","[RU]"
"reviews","ru","pros.placeholder","[RU] Placeholder","[RU]"
"reviews","ru","section.alreadyReviewed","[RU] Already Reviewed","[RU]"
"reviews","ru","section.ownerCantReview","[RU] Owner Cant Review","[RU]"
